"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Remote Mentoring a Distributed Agile Team","J. Shrinivasavadhani; V. Panicker","Wipro Technol., Bangalore; Wipro Technol., Bangalore","Agile 2008 Conference","15 Aug 2008","2008","","","322","326","We are running a distributed agile project across two locations - Bangalore, India and Shanghai, China. The challenge was the Bangalore team started earlier into the project and had a good understanding on the requirements and technologies involved. Subsequently the China team was added and had to be mentored on the project tools and technologies. An agile approach was taken towards this mentoring which had to be done remotely as travel and communication language both were constraints. This paper describes the experience and the lessons learnt.","","978-0-7695-3321-6","10.1109/Agile.2008.89","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4599499","remote mentoring;distributed;agile;communication","Employee welfare;Lead;Planning;Geography;Virtual groups;Unified modeling language;Testing","project management;software development management;team working","remote mentoring;distributed agile team;distributed agile project;communication language","","7","","3","","15 Aug 2008","","","IEEE","IEEE Conferences"
"A Peek into an Agile Infected Culture","C. Doshi; D. Doshi","ThoughtWorks, Pune, India; ThoughtWorks, Pune, India","2009 Agile Conference","25 Sep 2009","2009","","","84","89","What happens when your organization practices Agile software development for many years? Well, you get pretty good at Agile and you are able to apply Agile with reducing effort on challenging projects. But there is another interesting outcome which is that your people internalize Agile values, so much so that Agile becomes second-nature to everyone! In this paper we will show you how our culture is infected with Agile thinking, we will show you how we apply Agile to many ldquonon-softwarerdquo development activities like training- sessions, recruitment, staffing, office reforms, strategic decision making and more.","","978-0-7695-3768-9","10.1109/AGILE.2009.65","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5261104","Agile;Culture;Organization Culture;Extreme Progaramming;Agile Values;Agile infected;ThoughtWorks;India","Recruitment;Resource management;Dairy products;Management training;Feedback;Programming;Decision making;History;Banking;Insurance","DP management","Agile software development;Agile culture;Agile values internalize","","3","","","","25 Sep 2009","","","IEEE","IEEE Conferences"
"Hook, Line and Sinker: The Role of Line Management in Relation to Agile Teams","P. Abernathy","Suncorp, Melbourne, VIC, Australia","2009 Agile Conference","25 Sep 2009","2009","","","314","319","If agile is to be successfully introduced on a medium or large scale into any organization it is vital that there is a symbiotic relationship between line management and the agile teams that carry out the work. Line management form the organizational hierarchies and silos in any major corporation and their interaction with the cross functional Agile teams, either permanent or temporary, that are formed by drawing resources from various organizational silos, is a key success factor on the agile journey. This experience report outlines the dysfunctions that initially appeared between line management and the Agile teams early on in the agile journey and the steps taken to help overcome them. It outlines the key steps taken to enable the change and the benefits that accrued from this journey.","","978-0-7695-3768-9","10.1109/AGILE.2009.43","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5261066","leadership;line management;agile teams;governance;scaling agile;enterprise","Project management;Personnel;Software development management;Conference management;Management training;Banking;Insurance;Testing;Australia;Large-scale systems","business data processing;organisational aspects","line management;organizational hierarchies;cross functional agile teams;agile journey","","2","","","","25 Sep 2009","","","IEEE","IEEE Conferences"
"Distributed Agile: Growing a Practice Together","M. Vax; S. Michaud","Elastic Path Software, Vancouver, BC; Elastic Path Software, Vancouver, BC","Agile 2008 Conference","15 Aug 2008","2008","","","310","314","Elastic Path software and Luxoft present in this case study a successful distributed agile project using outsourcing (both near and off shore). Elastic Path and Luxoft are both experienced agile practitioners, which helped immensely in so far as neither client nor vendor had to learn how to do agile while trying to overcome the difficulties in implementing agile in a distributed manner. The case study describes how Elastic Path and Luxoft overcame the challenges of daily meetings, the lack of face-to-face interactions, rapidly changing requirements, and rapid team size scaling all across a fourteen hour time difference.","","978-0-7695-3321-6","10.1109/Agile.2008.44","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4599497","Distributed Agile;Scrum;Agile;eCommerce;outsourcing;Russia","Lead;Business;Face;Software;Testing;Real time systems;Planning","software engineering","distributed agile project;Elastic Path software;Luxoft;face-to-face interactions","","18","","","","15 Aug 2008","","","IEEE","IEEE Conferences"
"The Failure of the Off-shore Experiment: A Case for Collocated Agile Teams","B. Cohen; M. Thias","Luth Comput. Specialists, Inc., WI, USA; Spokes, Inc., VA, USA","2009 Agile Conference","25 Sep 2009","2009","","","251","256","Over the past few years distributed and offshore teams have been held up as the most cost effective delivery model for IT projects of all types. Yet case studies do not support these assumptions. The authors had the opportunity to compare the productivity, quality and performance of collocated agile teams with distributed agile teams and found that the collocated teams perform substantially better. In the first case a collocated team was eight times more productive, while in the second case, transferring the work to a collocated team saved the project from certain disaster. From these examples and others, there are strong indications that companies should be rediscovering collocated project teams as the old/new paradigm for delivering real value for their IT projects.","","978-0-7695-3768-9","10.1109/AGILE.2009.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5261076","Agile;collocation;distributed teams;software development;collocated teams","Productivity;Costs;Time to market;Quality management;Project management;Programming;Switches;Banking;Protection;Quality assurance","distributed programming;software development management","off-shore experiment;collocated agile teams;delivery model;IT projects;distributed agile teams","","2","","","","25 Sep 2009","","","IEEE","IEEE Conferences"
"Adopting Agile in an FDA Regulated Environment","R. Rasmussen; T. Hughes; J. R. Jenks; J. Skach","Abbott, Abbott Park, IL, USA; AgileTek LLC, Des Plaines, IL, USA; AgileTek LLC, Des Plaines, IL, USA; AgileTek LLC, Des Plaines, IL, USA","2009 Agile Conference","25 Sep 2009","2009","","","151","155","This paper is an experience report describing Abbottpsilas adoption of agile software development practices in its molecular diagnostics division. We will compare two medical device projects; one before agile and one after. Both of these projects required submission to the FDA (the U.S. Food and Drug Administration). We will describe the adoption of agile practices from realization of the need to the selection of a mentor to implementation and fine-tuning and finally to results and lessons learned. This experience has convinced us that an agile approach is the approach best suited to development of FDA-regulated medical devices.","","978-0-7695-3768-9","10.1109/AGILE.2009.50","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5261092","FDA;Agile;Software Development","Medical diagnostic imaging;Software tools;Object oriented modeling;Computer aided software engineering;Software engineering;Business;Aerospace industry;Aerospace testing;Automatic testing;Programming","pharmaceutical industry;software engineering","Food and Drug Administration;Abbott;agile software development;molecular diagnostics division;medical devices","","26","","2","","25 Sep 2009","","","IEEE","IEEE Conferences"
"Earned value and agile reporting","A. Cabri; M. Griffiths","Quadrus Dev. Inc., Calgary, Alta., Canada; Quadrus Dev. Inc., Calgary, Alta., Canada","AGILE 2006 (AGILE'06)","14 Aug 2006","2006","","","6 pp.","22","This paper reviews the concepts of earned value management established in traditional project management, and determines whether and how they can be applied to software development projects following an agile methodology. First the origins and concepts of earned value are reviewed, followed by its application in traditional projects. Then the application of earned value management to agile software projects is investigated.","","0-7695-2562-8","10.1109/AGILE.2006.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1667559","","Costs;Project management;Application software;Job shop scheduling;Performance analysis;Defense industry;Financial management;Software development management;Programming;History","project management;software development management","agile reporting;earned value management;project management;software development projects;agile methodology;agile software projects","","13","","7","","14 Aug 2006","","","IEEE","IEEE Conferences"
"How BMC is scaling agile development","I. Gat","Infrastructure Manage., BMC Software, Austin, TX, USA","AGILE 2006 (AGILE'06)","14 Aug 2006","2006","","","6 pp.","320","This report examines the large-scale deployment of agile software development in the Infrastructure Management Business Unit of BMC Software. The paper identifies and demonstrates several critical success, factors $such as empowerment, risk taking, and top-notch agile consulting - applying agile methodology as part of the overall software engineering ""stack"" and changing organizational structures. In particular, it highlights the relationship between empowerment and risk-taking, and suggests that the two should be managed in tandem as the foundation on which successful agile projects can evolve. Finally, the paper emphasizes the importance of implementing agile methodology across multiple corporate functions $marketing, sales, support, professional services, etc. It concludes with a review of the benefits that this approach provides to the end customers.","","0-7695-2562-8","10.1109/AGILE.2006.33","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1667594","","Software development management;Programming;Quality management;Scalability;Large-scale systems;Software engineering;Project management;Risk management;Marketing and sales;Bicycles","software development management;project management","agile development;agile software development;Infrastructure Management Business Unit;BMC Software;risk taking;top-notch agile consulting;software engineering;organizational structures;agile projects;corporate functions","","5","","","","14 Aug 2006","","","IEEE","IEEE Conferences"
"Defect Analysis in Large Scale Agile Development: Quality in the Agile Factory Model","B. Doherty; A. Jelfs; A. Dasgupta; P. Holden","Estimation, Planning & Anal. Group, SITA, UK; Estimation, Planning & Anal. Group, SITA, UK; Estimation, Planning & Anal. Group, SITA, UK; Estimation, Planning & Anal. Group, SITA, UK","2016 Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM-MENSURA)","9 Jan 2017","2016","","","180","180","Summary form only given. Despite the widespread proliferation of agile practices, implementation often fails due to lack of adequate project management support, decreased motivation or fear of increased interaction. Consequently, few organizations effectively adopt agile processes with tailoring often required to integrate agile methodology. This presentation provides an overview of an innovative large-scale tailored implementation of agile development termed the Agile Factory Model (AFM), with the aim of highlighting defect issues of specific importance to organizations undertaking large scale agile development. Drawing upon a substantial internal repository of defects, this study profiles defect severity, cause and lifecycle. Our results indicate that during development and testing the majority of defects which occur in the AFM are of severity 3, with requirements defects making up only 0.7%. Acceptance, Integration and Performance (AIP) testing captures the largest quantity of defects at 26.14% whilst a further 17.28% show up in Factory Acceptance Testing (FAT), where FAT and AIP are sequential stages in the AFM respectively. The results demonstrate that agile practices can be effectively translated to a globally distributed development environment.","","978-1-5090-4147-3","10.1109/IWSM-Mensura.2016.034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7809606","Defects;Quality;Agile;Large-scale Agile;Agile Factory Model;Globally Distributed Software Development","Production facilities;Estimation;Planning;Testing;Software measurement;Software;Organizations","life cycle costing;program diagnostics;program testing;project management;software development management;software performance evaluation;software prototyping;software quality","defect analysis;large-scale agile development quality;agile factory model;agile practices;project management support;agile processes;AFM;defect severity;defect cause;defect lifecycle;acceptance-integration-and-performance testing;factory acceptance testing;FAT;AIP testing;globally distributed software development","","2","","","","9 Jan 2017","","","IEEE","IEEE Conferences"
"Gap Analysis between State of Practice and State of Art Practices in Agile Software Development","A. Rauf; M. AlGhafees","Dept. of Comput. Sci., Al-Imam Mohammad Ibn Saud Islamic Univ., Riyadh, Saudi Arabia; Dept. of Comput. Sci., Al-Imam Mohammad Ibn Saud Islamic Univ., Riyadh, Saudi Arabia","2015 Agile Conference","1 Oct 2015","2015","","","102","106","Agile software development can be considered as a development methodology which suits the situations where requirements are changing frequently. Most of the literature about agile is specific to one or two practices. Lack of a comprehensive discussion on all the commonly used agile practices in literature and their adoption results by industry is very much evident. This work is an ongoing effort, where we are going to discuss some of the literature, we have gone through to solicit common agile practices, score them on the basis of frequency of referral and then we have tried to get an opinion from industry regarding our findings. Our aim is to have a comprehensive review of all the literature presented for Agile in last decade and have an analysis of these results based on feedback from industry of at-least 2-3 continents. In this short paper, we are presenting some of our findings and we hope to extend our work gradually.","","978-1-4673-7153-7","10.1109/Agile.2015.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7284606","Software development;agile methods;agile practices;XP;Scrum","Industries;Software;Companies;Scrum (Software development);Programming","feedback;software prototyping","gap analysis;agile software development;agile practices;feedback","","6","","15","","1 Oct 2015","","","IEEE","IEEE Conferences"
"Is Agile Portfolio Management Following the Principles of Large-Scale Agile? Case Study in Finnish Broadcasting Company Yle","M. Laanti; M. Kangas","Nitor Delta, Helsinki, Finland; Finnish Broadcasting Co., Helsinki, Finland","2015 Agile Conference","1 Oct 2015","2015","","","92","96","Finnish Broadcasting Company Yle has taken Agile Portfolio Management into use at web and mobile development. This paper examines how the general benefits of Agile Portfolio practices described in training material and literature differ from the actual benefits described by real users of Portfolio Kanban Board. We also compare if the Principles of Large-Scale Agile collected from various Agile Organizations and published in the keynote presentation in the XP2014 conference can actually be detected in-action by users of Portfolio Kanban Board, and end up with a suggestion to remove the Principle of pattern utilization.","","978-1-4673-7153-7","10.1109/Agile.2015.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7284604","large-scale agile software development;agile methods;software engineering;project management;portfolio management;Scaled Agile;agile planning","Portfolios;Companies;Broadcasting;Technological innovation;Software","broadcasting;Internet;mobile computing;software prototyping","agile portfolio management;large-scale agile;Finnish broadcasting company;Yle;Web development;mobile development;training material;portfolio kanban board;pattern utilization","","7","","32","","1 Oct 2015","","","IEEE","IEEE Conferences"
"An Agile Development Team's Quest for CMMI® Maturity Level 5","S. Cohan; H. Glazer",NA; NA,"2009 Agile Conference","25 Sep 2009","2009","","","201","206","Pragmatics performs agile development, has been rated at CMMI (Capability Maturity Model Integration) maturity level 4, and is striving to achieve CMMI maturity level (CML) 5. By maturing our agile disciplines, we feel we will not only improve the performance of our agile teams, which will ultimately benefit our agile development practices regardless of our appraisal rating, but will also lead to our being appraised at CML 5. This experience report describes the steps we are taking to improve our agile development disciplines, which we believe will lead to our being appraised at CML 5.","","978-0-7695-3768-9","10.1109/AGILE.2009.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5261084","Agile Mitrics CMMI","Appraisal;Project management;Coordinate measuring machines;US Government;Technological innovation;Capability maturity model;Best practices;Data analysis;Performance analysis;Testing","Capability Maturity Model;software development management","agile development;CMMI maturity level 5;Capability Maturity Model Integration","","8","","6","","25 Sep 2009","","","IEEE","IEEE Conferences"
"Adopting an Agile Culture A User Experience Team's Journey","L. Cho","User Experience Team, Liquidnet Holdings, Inc., New York, NY, USA","2009 Agile Conference","25 Sep 2009","2009","","","416","421","Success in adopting an agile culture depends on the organizationpsilas ability to adapt, while at the same time establishing common objectives and principles across the organization. This experience report observes this theme via the lens of a project team at Liquidnet, specifically through the user experience group.","","978-0-7695-3768-9","10.1109/AGILE.2009.76","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5261047","","Companies;Lenses;Engineering profession;Turning;Consumer electronics;Continents;Technological innovation;Teamwork;Computer industry;Toy industry","agile manufacturing;organisational aspects;team working","user experience teams journey;agile culture adaptiveness;organization ability;project team;Liquidnet company","","7","","3","","25 Sep 2009","","","IEEE","IEEE Conferences"
"The Good and Bad of Agile Offshore Development","M. Cottmeyer","VersionOne, Alpharetta, GA","Agile 2008 Conference","15 Aug 2008","2008","","","362","367","Companies today are attempting to lower costs and increase their staffing flexibility by taking some [or even all] of their development activities overseas. Simultaneously, many of these same organizations are exploring agile development practices in an effort to increase quality and to improve project performance. This report explores the intersection of these two significant trends common in todaypsilas software development organizations. We will show how our team built an effective agile offshore development capability, what we learned along the way, and what we would do differently next time around.","","978-0-7695-3321-6","10.1109/Agile.2008.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4599506","Agile;Offshore;Experience Report","Contracts;Planning;Collaboration;Buildings;Software;Electronic mail;Meteorology","software development management","agile offshore development;staffing;project performance;software development organization","","22","","","","15 Aug 2008","","","IEEE","IEEE Conferences"
"Overcoming the Challenges of Building a Distributed Agile Organization","E. Therrien",NA,"Agile 2008 Conference","15 Aug 2008","2008","","","368","372","First American Corelogic had adopted agile processes in 2005, but not all teams were operating successfully. The biggest challenges were experienced by the off-shore and distributed teams. This experience report discusses these challenges and how the distributed team adapted agile principles and roles to reach optimal team velocity and productivity.","","978-0-7695-3321-6","10.1109/Agile.2008.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4599507","Distributed;Agile;Communication;Adapting Agile","Planning;Productivity;Buildings;Book reviews;Face;Business;Cultural differences","software engineering","distributed agile organization;off-shore-distributed teams;optimal team velocity","","12","","","","15 Aug 2008","","","IEEE","IEEE Conferences"
